,OpenTime,Side,Pair,Amount,Status,OpenPrice,ClosePrice,SL,TP,PnL
194,02/19 22:20:32,SHORT,PEOPLEUSDT,5000.00000000003,Close,0.03288,0.03318,0.03318,0.03268,-1.6659000000000184
195,02/19 23:30:49,SHORT,1000SHIBUSDT,23809.5238095236,Close,0.009938,0.009896,0.010001,0.009896,0.7643809523809544
196,02/19 23:34:35,SHORT,BLURUSDT,100.00000000000102,Close,0.7878,0.7778,0.8027999999999997,0.7778,0.9222199999999992
197,02/19 23:50:06,SHORT,KASUSDT,392.1568627450985,Close,0.18366,0.18111,0.1874849999999999,0.18111,0.9289764705882352
198,02/19 23:54:05,LONG,CHRUSDT,227.27272727272648,Close,0.4366,0.441,0.4299999999999999,0.441,0.8997727272727275
199,02/20 00:00:32,SHORT,GASUSDT,20.40816326530633,Close,6.555,6.506,6.628499999999999,6.506,0.8672244897959168
200,02/20 00:01:17,SHORT,UMAUSDT,27.027027027027085,Close,4.283,4.246,4.3385,4.246,0.885243243243243
201,02/20 00:02:07,SHORT,C98USDT,476.1904761904783,Close,0.3552,0.3531,0.35835,0.3531,0.8318571428571421
202,02/20 00:14:49,SHORT,ENSUSDT,5.376344086021507,Close,23.739,23.553,24.018,23.553,0.8733709677419355
203,02/20 00:21:18,SHORT,BIGTIMEUSDT,144.92753623188486,Close,0.4447,0.4378,0.4550499999999999,0.4378,0.9365507246376809
204,02/20 00:23:03,SHORT,LOOMUSDT,523.5602094240851,Close,0.10422,0.10231,0.1070849999999999,0.10231,0.9464345549738218
205,02/20 00:39:22,LONG,KEYUSDT,20408.163265305942,Close,0.006926,0.0068524999999999,0.0068524999999999,0.006975,-1.639846938777525
206,02/20 00:39:39,LONG,JUPUSDT,151.51515151515036,Close,0.5252,0.5152999999999999,0.5152999999999999,0.5318,-1.5780757575757651
207,02/20 00:45:46,LONG,XMRUSDT,1.0416666666666734,Close,113.14,114.1,111.70000000000002,114.1,0.8811458333333326
208,02/20 01:16:10,LONG,IOTXUSDT,1111.111111111105,Close,0.06077,0.0594199999999999,0.0594199999999999,0.06167,-1.566022222222318
209,02/20 01:16:13,SHORT,APTUSDT,10.752688172043014,Close,10.023,9.93,10.1625,9.93,0.8932258064516129
210,02/20 01:16:15,SHORT,ENSUSDT,5.952380952380853,Close,23.507,23.339,23.759000000000007,23.339,0.8610773809523833
211,02/20 02:48:03,LONG,AIUSDT,46.23208506703645,Close,1.71981,1.687365,1.687365,1.74144,-1.57801040221914
212,02/20 03:45:53,LONG,TIAUSDT,7.429420505200652,Close,18.3598,18.1579,18.1579,18.4944,-1.634902674591383
213,02/20 03:46:24,LONG,GASUSDT,34.48275862068976,Close,6.447,6.4035,6.4035,6.476,-1.7208103448275869
214,02/20 03:47:01,LONG,AVAXUSDT,6.410256410256459,Close,39.201,38.967,38.967,39.357,-1.7497884615384862
215,02/20 03:49:13,LONG,RUNEUSDT,40.00000000000085,Close,5.384,5.346500000000001,5.346500000000001,5.409,-1.7138600000000224
216,02/20 04:06:45,LONG,COTIUSDT,571.4285714285709,Close,0.09865,0.1004,0.096025,0.1004,0.9426285714285714
217,02/20 06:00:36,LONG,NEARUSDT,66.66666666666612,Close,3.467,3.482,3.4445,3.482,0.7678666666666686
218,02/20 06:32:13,LONG,SOLUSDT,2.083333333333316,Close,110.57,111.05,109.85,111.05,0.7686458333333352
219,02/20 06:37:42,LONG,ARKMUSDT,175.4385964912269,Close,1.028,1.0337,1.01945,1.0337,0.8186491228070187
220,02/20 07:02:33,LONG,1000BONKUSDT,19607.843137255302,Close,0.012772,0.012823,0.0126955,0.012823,0.7485686274509753
221,02/20 07:04:49,LONG,LPTUSDT,8.333333333333387,Close,15.701,15.821,15.521,15.821,0.8681583333333325
222,02/20 07:06:17,LONG,1000PEPEUSDT,121951.21951219375,Close,0.0012,0.0011876999999999,0.0011876999999999,0.0012082,-1.6448414634267974
223,02/20 07:32:15,SHORT,JASMYUSDT,4807.692307692311,Close,0.008846,0.009158,0.009158,0.008638,-1.5440288461538465
224,02/20 07:34:02,SHORT,INJUSDT,2.192982456140336,Close,38.533,38.077,39.217000000000006,38.077,0.9164978070175444
225,02/20 07:40:27,LONG,ARBUSDT,153.84615384614452,Close,2.0157,2.0059499999999995,2.0059499999999995,2.0222,-1.8086076923076395
226,02/20 07:54:45,LONG,LPTUSDT,6.172839506172808,Close,15.664,15.421,15.421,15.826,-1.5951913580246853
